compound,src_model,vina_affinity,rmsd_to_input,cnn_score,cnn_affinity,cnn_variance,refined_pdb
x03250-1,0,-9.10926,0.57999,0.934,7.10107,0.069,/home/nagaet/pxr-iduction-challenge/structures/boltz2_track2/redock_gnina/x03250-1/x03250-1_refined.pdb
x03252-1,0,-10.17481,0.36656,0.89066,7.12431,0.03893,/home/nagaet/pxr-iduction-challenge/structures/boltz2_track2/redock_gnina/x03252-1/x03252-1_refined.pdb
x03259-1,0,-8.58665,0.69934,0.73347,6.84433,0.02386,/home/nagaet/pxr-iduction-challenge/structures/boltz2_track2/redock_gnina/x03259-1/x03259-1_refined.pdb
x03260-1,0,-7.97716,0.84605,0.76759,7.57987,0.01969,/home/nagaet/pxr-iduction-challenge/structures/boltz2_track2/redock_gnina/x03260-1/x03260-1_refined.pdb
x03264-1,0,-8.7042,1.03842,0.53884,6.90381,0.01009,/home/nagaet/pxr-iduction-challenge/structures/boltz2_track2/redock_gnina/x03264-1/x03264-1_refined.pdb
x03271-1,0,-9.10658,1.69272,0.5792,7.07081,0.14489,/home/nagaet/pxr-iduction-challenge/structures/boltz2_track2/redock_gnina/x03271-1/x03271-1_refined.pdb
x03273-1,0,-7.75166,0.46077,0.59823,6.44317,0.19563,/home/nagaet/pxr-iduction-challenge/structures/boltz2_track2/redock_gnina/x03273-1/x03273-1_refined.pdb
x03279-1,0,-7.37119,0.55344,0.82147,6.13612,0.43395,/home/nagaet/pxr-iduction-challenge/structures/boltz2_track2/redock_gnina/x03279-1/x03279-1_refined.pdb
x03282-1,0,-8.88027,0.28706,0.91831,6.25191,0.0221,/home/nagaet/pxr-iduction-challenge/structures/boltz2_track2/redock_gnina/x03282-1/x03282-1_refined.pdb
x03297-1,0,-8.88193,0.59707,0.64591,7.19171,0.10126,/home/nagaet/pxr-iduction-challenge/structures/boltz2_track2/redock_gnina/x03297-1/x03297-1_refined.pdb
x03306-1,0,-9.84945,0.69917,0.94401,7.25281,0.18365,/home/nagaet/pxr-iduction-challenge/structures/boltz2_track2/redock_gnina/x03306-1/x03306-1_refined.pdb
x03319-1,0,-10.50659,0.2711,0.86819,6.85934,0.00467,/home/nagaet/pxr-iduction-challenge/structures/boltz2_track2/redock_gnina/x03319-1/x03319-1_refined.pdb
x03325-1,0,-6.84871,1.10826,0.81906,6.52458,0.05593,/home/nagaet/pxr-iduction-challenge/structures/boltz2_track2/redock_gnina/x03325-1/x03325-1_refined.pdb
x03331-1,0,-10.78543,0.41953,0.73276,6.70874,0.00868,/home/nagaet/pxr-iduction-challenge/structures/boltz2_track2/redock_gnina/x03331-1/x03331-1_refined.pdb
x03363-1,0,-9.69096,0.43097,0.93727,7.29006,0.10234,/home/nagaet/pxr-iduction-challenge/structures/boltz2_track2/redock_gnina/x03363-1/x03363-1_refined.pdb
x03365-1,0,-9.97668,0.33118,0.94942,7.85306,0.30668,/home/nagaet/pxr-iduction-challenge/structures/boltz2_track2/redock_gnina/x03365-1/x03365-1_refined.pdb
x03371-1,0,-9.95271,1.20144,0.4957,6.73771,0.01563,/home/nagaet/pxr-iduction-challenge/structures/boltz2_track2/redock_gnina/x03371-1/x03371-1_refined.pdb
x03385-1,0,-8.4919,0.52363,0.80199,6.43473,0.20484,/home/nagaet/pxr-iduction-challenge/structures/boltz2_track2/redock_gnina/x03385-1/x03385-1_refined.pdb
x03387-1,0,-7.15864,0.65807,0.60418,6.22688,0.05751,/home/nagaet/pxr-iduction-challenge/structures/boltz2_track2/redock_gnina/x03387-1/x03387-1_refined.pdb
x03400-1,0,-9.21708,0.44257,0.92531,7.04977,0.01251,/home/nagaet/pxr-iduction-challenge/structures/boltz2_track2/redock_gnina/x03400-1/x03400-1_refined.pdb
x03401-1,0,-8.81577,0.67171,0.8693,6.63326,0.09729,/home/nagaet/pxr-iduction-challenge/structures/boltz2_track2/redock_gnina/x03401-1/x03401-1_refined.pdb
x03405-1,0,-7.52129,0.54571,0.68527,6.34107,0.17918,/home/nagaet/pxr-iduction-challenge/structures/boltz2_track2/redock_gnina/x03405-1/x03405-1_refined.pdb
x03406-1,0,-8.18807,0.59442,0.68215,6.23444,0.14159,/home/nagaet/pxr-iduction-challenge/structures/boltz2_track2/redock_gnina/x03406-1/x03406-1_refined.pdb
x03420-1,0,-9.04253,0.36162,0.94048,7.51411,0.14808,/home/nagaet/pxr-iduction-challenge/structures/boltz2_track2/redock_gnina/x03420-1/x03420-1_refined.pdb
x03421-1,0,-7.28779,0.5059,0.77935,6.86401,0.01299,/home/nagaet/pxr-iduction-challenge/structures/boltz2_track2/redock_gnina/x03421-1/x03421-1_refined.pdb
x03425-1,0,-7.6092,0.95248,0.51846,6.99572,0.04444,/home/nagaet/pxr-iduction-challenge/structures/boltz2_track2/redock_gnina/x03425-1/x03425-1_refined.pdb
x03432-1,0,-8.20732,0.66032,0.72342,6.80566,0.07367,/home/nagaet/pxr-iduction-challenge/structures/boltz2_track2/redock_gnina/x03432-1/x03432-1_refined.pdb
x03454-1,0,-9.08165,0.79775,0.72258,7.58407,0.39237,/home/nagaet/pxr-iduction-challenge/structures/boltz2_track2/redock_gnina/x03454-1/x03454-1_refined.pdb
x03462-1,0,-8.33216,0.58512,0.44917,5.85954,0.43795,/home/nagaet/pxr-iduction-challenge/structures/boltz2_track2/redock_gnina/x03462-1/x03462-1_refined.pdb
x03463-1,0,-9.26991,0.74571,0.67519,7.18742,0.0235,/home/nagaet/pxr-iduction-challenge/structures/boltz2_track2/redock_gnina/x03463-1/x03463-1_refined.pdb
x03464-1,0,-9.47674,0.74013,0.75734,7.49261,0.10753,/home/nagaet/pxr-iduction-challenge/structures/boltz2_track2/redock_gnina/x03464-1/x03464-1_refined.pdb
x03468-1,0,-9.71754,1.15679,0.63853,6.46702,0.22136,/home/nagaet/pxr-iduction-challenge/structures/boltz2_track2/redock_gnina/x03468-1/x03468-1_refined.pdb
